Matrix	MATPINV	1	0	1	0	0	0	40	40
Matrix	MATRESH	1	0	1	0	0	0	60	40
Matrix	MATSING	1	0	1	0	0	0	40	40
Matrix	MATSUM	1	0	1	0	0	0	60	40
Matrix	MATTRAN	1	0	1	0	0	0	60	40
Matrix	MATZCONJ	1	0	1	0	0	0	40	40
Matrix	MATZREIM	1	0	2	0	0	0	60	40
Matrix	RICC	3	0	1	0	0	0	40	40
Matrix	ROOTCOEF	1	0	1	0	0	0	60	40
Matrix	SQRT	1	0	1	0	0	0	40	40
Matrix	SUBMAT	1	0	1	0	0	0	50	40
Electrical	Capacitor	0	1	0	1	0	0	40	22
Electrical	CCS	1	1	0	1	0	0	42	60
Electrical	ConstantVoltage	0	1	0	1	0	0	30	22
Electrical	CurrentSensor	0	1	1	1	0	0	40	40
Electrical	CVS	1	1	0	1	0	0	42	60
Electrical	Diode	0	1	0	1	0	0	40	20
Electrical	Ground	0	1	0	0	0	0	20	20
Electrical	Gyrator	0	2	0	2	0	0	40	40
Electrical	IdealTransformer	0	2	0	2	0	0	40	40
Electrical	Inductor	0	1	0	1	0	0	40	18
Electrical	NMOS	0	1	0	3	0	0	40	40
Electrical	NPN	0	1	0	2	0	0	40	40
Electrical	OpAmp	0	2	0	1	0	0	60	100
Electrical	PMOS	0	1	0	3	0	0	40	40
Electrical	PNP	0	1	0	2	0	0	40	40
Electrical	PotentialSensor	0	1	1	0	0	0	40	40
Electrical	Resistor	0	1	0	1	0	0	40	20
Electrical	SineVoltage	0	1	0	1	0	0	40	40
Electrical	Switch	1	1	0	1	0	0	40	40
Electrical	VariableResistor	1	1	0	1	0	0	40	40
Electrical	VoltageSensor	0	1	1	1	0	0	40	40
Electrical	VsourceAC	0	1	0	1	0	0	40	40
Electrical	VVsourceAC	1	1	0	1	0	0	40	40
Integer	BITCLEAR	1	0	1	0	0	0	80	40
Integer	BITSET	1	0	1	0	0	0	80	40
Commonly Used Blocks	CONVERT	1	0	1	0	0	0	60	40
Integer	DFLIPFLOP	3	0	2	0	0	0	40	60
Integer	DLATCH	2	0	2	0	0	0	40	60
Integer	EXTRACTBITS	1	0	1	0	0	0	80	40
Integer	INTMUL	2	0	1	0	0	0	40	40
Integer	JKFLIPFLOP	3	0	2	0	0	0	40	60
Integer	LOGIC	2	0	1	0	0	1	40	40
Integer	SHIFT	1	0	1	0	0	0	60	40
Integer	SRFLIPFLOP	2	0	2	0	0	0	40	60
Zero crossing detection	GENERAL_f	1	0	0	0	1	0	60	40
Zero crossing detection	NEGTOPOS_f	1	0	0	0	1	0	40	40
Zero crossing detection	POSTONEG_f	1	0	0	0	1	0	40	40
Zero crossing detection	ZCROSS_f	1	0	0	0	1	0	40	40
Signal Routing	CLKFROM	0	0	0	0	1	0	40	20
Signal Routing	CLKGOTO	0	0	0	0	0	1	40	20
Commonly Used Blocks	DEMUX	1	0	2	0	0	0	10	40
Signal Routing	DEMUX_f	1	0	2	0	0	0	10	40
Signal Routing	EXTRACTOR	1	0	1	0	0	0	60	40
Signal Routing	FROM	0	0	1	0	0	0	40	20
Signal Routing	FROMMO	0	0	0	1	0	0	40	20
Signal Routing	GOTO	1	0	0	0	0	0	40	20
Signal Routing	GOTOMO	0	1	0	0	0	0	40	20
Signal Routing	GotoTagVisibility	0	0	0	0	0	0	40	40
Signal Routing	GotoTagVisibilityMO	0	0	0	0	0	0	40	40
Signal Routing	ISELECT_m	1	0	2	0	0	2	60	40
Signal Routing	M_SWITCH	3	0	1	0	0	0	50	40
Commonly Used Blocks	MUX	2	0	1	0	0	0	10	40
Signal Routing	MUX_f	2	0	1	0	0	0	10	40
Commonly Used Blocks	NRMSOM_f	2	0	1	0	0	0	4	40
Signal Routing	RELAY_f	2	0	1	0	0	2	40	40
Signal Routing	SCALAR2VECTOR	1	0	1	0	0	0	60	40
Signal Routing	SELECT_m	2	0	1	0	0	2	60	40
Signal Routing	SELF_SWITCH	1	0	1	0	0	0	40	40
Signal Routing	SWITCH_f	2	0	1	0	0	0	40	40
Commonly Used Blocks	SWITCH2_m	3	0	1	0	0	0	40	40
Implicit	CONSTRAINT_c	1	0	1	0	0	0	60	40
Implicit	CONSTRAINT2_c	1	0	2	0	0	0	60	40
Implicit	DIFF_f	1	0	1	0	0	0	40	40
Annotations	TEXT_f	0	0	0	0	0	0	40	40
Sinks	AFFICH_m	1	0	0	0	0	1	60	40
Sinks	BARXY	2	0	0	0	0	1	40	40
Sinks	CANIMXY	2	0	0	0	0	1	40	40
Sinks	CANIMXY3D	3	0	0	0	0	1	40	40
Sinks	CFSCOPE	0	0	0	0	0	1	40	40
Sinks	CLKOUTV_f	0	0	0	0	0	1	20	20
Sinks	CMAT3D	1	0	0	0	0	1	40	40
Sinks	CMATVIEW	1	0	0	0	0	1	40	40
Commonly Used Blocks	CMSCOPE	2	0	0	0	0	1	40	40
Sinks	CSCOPE	1	0	0	0	0	1	40	40
Commonly Used Blocks	CSCOPXY	2	0	0	0	0	1	40	40
Sinks	CSCOPXY3D	3	0	0	0	0	1	40	40
Commonly Used Blocks	OUT_f	1	0	0	0	0	0	20	20
Sinks	OUTIMPL_f	0	1	0	0	0	0	20	20
Sinks	TOWS_c	1	0	0	0	0	1	80	40
Sinks	TRASH_f	1	0	0	0	0	1	40	40
Sinks	WRITEAU_f	1	0	0	0	0	1	80	40
Sinks	WRITEC_f	1	0	0	0	0	1	80	40
Sources	CLKINV_f	0	0	0	0	1	0	20	20
Sources	CLOCK_c	0	0	0	0	1	0	40	40
Sources	CONST	0	0	1	0	0	0	40	40
Sources	CONST_f	0	0	1	0	0	0	40	40
Commonly Used Blocks	CONST_m	0	0	1	0	0	0	40	40
Sources	Counter	0	0	1	0	0	1	60	40
Sources	CURV_f	0	0	1	0	0	0	40	40
Sources	FROMWSB	0	0	1	0	0	0	100	40
Sources	GENSIN_f	0	0	1	0	0	0	60	40
Sources	GENSQR_f	0	0	1	0	0	1	60	40
Commonly Used Blocks	IN_f	0	0	1	0	0	0	20	20
Sources	INIMPL_f	0	0	0	1	0	0	20	20
Sources	Modulo_Count	0	0	1	0	0	1	60	40
Sources	PULSE_SC	0	0	1	0	0	0	60	40
