Device	LED_Dual_ACA	600	520
Device	LED_Dual_ACAC	600	520
Device	LED_Dual_CAC	600	520
Device	LED_Dual_CACA	600	520
Device	LED_Dual_CCA	600	520
Device	LED_PAD	300	400
Device	LED_RABG	400	660
Device	LED_RAGB	400	660
Device	LED_RCBG	400	660
Device	LED_RCGB	400	660
Device	LED_RGB	400	660
Device	LED_RGBA	400	660
Device	LED_RGBC	400	660
Device	LED_RGB_EP	400	1000
Device	LED_Series	500	230
Device	LED_Series_PAD	500	400
Device	LED_Small	200	140
Device	LED_Small_ALT	200	140
Device	Q_SCR_AGK	300	300
Device	Q_SCR_AKG	300	300
Device	Q_SCR_GAK	300	300
Device	Q_SCR_GKA	300	300
Device	Q_SCR_KAG	300	300
Device	Q_SCR_KGA	300	300
Device	Q_TRIAC_A1A2G	300	300
Device	Q_TRIAC_A1GA2	300	300
Device	Q_TRIAC_A2A1G	300	300
Device	Q_TRIAC_A2GA1	300	300
Device	Q_TRIAC_GA1A2	300	300
Device	Q_TRIAC_GA2A1	300	300
Device	SPARK_GAP	400	50
Device	Fuse	60	300
Device	Fuse_Polarized	60	300
Device	Fuse_Polarized_Small	200	40
Device	Fuse_Small	200	40
Device	Polyfuse	120	300
Device	Polyfuse_Small	80	200
Device	Ferrite_Bead	218	300
Device	Ferrite_Bead_Small	144	200
Device	EMI_Filter_CLC	600	300
Device	EMI_Filter_LCL	600	300
Device	EMI_Filter_LL	400	200
Device	EMI_Filter_LL_1423	400	200
Device	Hall_Generator	300	400
Device	RF_Shield_One_Piece	1200	800
Device	RF_Shield_Two_Pieces	1400	900
Device	Jumper	600	100
Device	Jumper_NC_Dual	500	200
Device	Jumper_NC_Small	200	60
Device	Jumper_NO_Small	200	40
Device	Delay_Line	400	600
Device	Electromagnetic_Actor	200	400
Device	L	200	300
Device	LTRIM	150	300
Device	L_Core_Ferrite	120	300
Device	L_Core_Ferrite_Coupled	400	200
Device	L_Core_Ferrite_Coupled_1243	400	200
Device	L_Core_Ferrite_Coupled_1324	400	200
Device	L_Core_Ferrite_Coupled_1342	400	200
Device	L_Core_Ferrite_Coupled_1423	400	200
Device	L_Core_Ferrite_Coupled_Small	200	120
Device	L_Core_Ferrite_Coupled_Small_1243	200	120
Device	L_Core_Ferrite_Coupled_Small_1324	200	120
Device	L_Core_Ferrite_Coupled_Small_1342	200	120
Device	L_Core_Ferrite_Coupled_Small_1423	200	120
Device	L_Core_Ferrite_Small	80	200
Device	L_Core_Iron	120	300
Device	L_Core_Iron_Coupled	400	200
Device	L_Core_Iron_Coupled_1243	400	200
Device	L_Core_Iron_Coupled_1324	400	200
Device	L_Core_Iron_Coupled_1342	400	200
Device	L_Core_Iron_Coupled_1423	400	200
Device	L_Core_Iron_Coupled_Small	200	120
Device	L_Core_Iron_Coupled_Small_1243	200	120
Device	L_Core_Iron_Coupled_Small_1324	200	120
Device	L_Core_Iron_Coupled_Small_1342	200	120
Device	L_Core_Iron_Coupled_Small_1423	200	120
Device	L_Core_Iron_Small	80	200
Device	L_Coupled	400	200
Device	L_Coupled_1243	400	200
Device	L_Coupled_1324	400	200
Device	L_Coupled_1342	400	200
Device	L_Coupled_1423	400	200
Device	L_Coupled_Small	200	120
Device	L_Coupled_Small_1243	200	120
Device	L_Coupled_Small_1324	400	200
Device	L_Coupled_Small_1342	200	120
Device	L_Coupled_Small_1423	200	120
Device	L_Small	200	200
Device	Lamp	200	400
Device	Lamp_Flash	400	400
Device	Laserdiode_1A3C	600	240
Device	Laserdiode_1C2A	600	240
Device	Laserdiode_M_TYPE	600	480
Device	Laserdiode_N_TYPE	600	480
Device	Laserdiode_P_TYPE	600	480
Device	Earphone	150	400
Device	Speaker	400	500
Device	Speaker_Crystal	400	500
Device	Amperemeter_AC	250	400
Device	Amperemeter_DC	250	400
Device	Frequency_Counter	250	400
Device	Galvanometer	250	400
Device	Ohmmeter	250	400
Device	Oscilloscope	200	400
Device	Voltmeter_AC	250	400
Device	Voltmeter_DC	250	400
Device	Microphone	200	400
Device	Microphone_Condenser	200	400
Device	Microphone_Crystal	200	400
Device	MEMRISTOR	100	300
Device	Lamp_Neon	200	400
Device	Net-Tie_2	200	200
