171	Device	D_x2_Serial_KCA	D
172	Device	Delay_Line	L
173	Device	EMI_Filter_CLC	FL
174	Device	EMI_Filter_LCL	FL
175	Device	EMI_Filter_LL	FL
176	Device	EMI_Filter_LL_1423	FL
177	Device	Earphone	LS
178	Device	Electromagnetic_Actor	L
179	Device	Ferrite_Bead	FB
180	Device	Ferrite_Bead_Small	FB
181	Device	Frequency_Counter	MES
182	Device	Fuse	F
183	Device	Fuse_Polarized	F
184	Device	Fuse_Polarized_Small	F
185	Device	Fuse_Small	F
186	Device	Galvanometer	MES
187	Device	Hall_Generator	HG
188	Device	Heater	R
189	Device	Jumper	JP
190	Device	Jumper_NC_Dual	JP
191	Device	Jumper_NC_Small	JP
192	Device	Jumper_NO_Small	JP
193	Device	L	L
194	Device	LED	D
195	Device	LED_ABRG	D
196	Device	LED_ALT	D
197	Device	LED_ARBG	D
198	Device	LED_ARGB	D
199	Device	LED_BARG	D
200	Device	LED_BGRA	D
201	Device	LED_CRGB	D
202	Device	LED_Dual_2pin	D
203	Device	LED_Dual_AAC	D
204	Device	LED_Dual_AACC	D
205	Device	LED_Dual_ACA	D
206	Device	LED_Dual_ACAC	D
207	Device	LED_Dual_CAC	D
208	Device	LED_Dual_CACA	D
209	Device	LED_Dual_CCA	D
210	Device	LED_PAD	D
211	Device	LED_RABG	D
212	Device	LED_RAGB	D
213	Device	LED_RCBG	D
214	Device	LED_RCGB	D
215	Device	LED_RGB	D
216	Device	LED_RGBA	D
217	Device	LED_RGBC	D
218	Device	LED_RGB_EP	D
219	Device	LED_Series	D
220	Device	LED_Series_PAD	D
221	Device	LED_Small	D
222	Device	LED_Small_ALT	D
223	Device	LTRIM	L
224	Device	L_Core_Ferrite	L
225	Device	L_Core_Ferrite_Coupled	L
226	Device	L_Core_Ferrite_Coupled_1243	L
227	Device	L_Core_Ferrite_Coupled_1324	L
228	Device	L_Core_Ferrite_Coupled_1342	L
229	Device	L_Core_Ferrite_Coupled_1423	L
230	Device	L_Core_Ferrite_Coupled_Small	L
231	Device	L_Core_Ferrite_Coupled_Small_1243	L
232	Device	L_Core_Ferrite_Coupled_Small_1324	L
233	Device	L_Core_Ferrite_Coupled_Small_1342	L
234	Device	L_Core_Ferrite_Coupled_Small_1423	L
235	Device	L_Core_Ferrite_Small	L
236	Device	L_Core_Iron	L
237	Device	L_Core_Iron_Coupled	L
238	Device	L_Core_Iron_Coupled_1243	L
239	Device	L_Core_Iron_Coupled_1324	L
240	Device	L_Core_Iron_Coupled_1342	L
241	Device	L_Core_Iron_Coupled_1423	L
242	Device	L_Core_Iron_Coupled_Small	L
243	Device	L_Core_Iron_Coupled_Small_1243	L
244	Device	L_Core_Iron_Coupled_Small_1324	L
245	Device	L_Core_Iron_Coupled_Small_1342	L
246	Device	L_Core_Iron_Coupled_Small_1423	L
247	Device	L_Core_Iron_Small	L
248	Device	L_Coupled	L
249	Device	L_Coupled_1243	L
250	Device	L_Coupled_1324	L
251	Device	L_Coupled_1342	L
252	Device	L_Coupled_1423	L
253	Device	L_Coupled_Small	L
254	Device	L_Coupled_Small_1243	L
255	Device	L_Coupled_Small_1324	L
256	Device	L_Coupled_Small_1342	L
257	Device	L_Coupled_Small_1423	L
258	Device	L_Small	L
259	Device	Lamp	LA
260	Device	Lamp_Flash	LA
261	Device	Lamp_Neon	NE
262	Device	Laserdiode_1A3C	LD
263	Device	Laserdiode_1C2A	LD
264	Device	Laserdiode_M_TYPE	LD
265	Device	Laserdiode_N_TYPE	LD
266	Device	Laserdiode_P_TYPE	LD
267	Device	MEMRISTOR	MR
268	Device	Microphone	MK
269	Device	Microphone_Condenser	MK
270	Device	Microphone_Crystal	MK
271	Device	Net-Tie_2	NT
272	Device	Net-Tie_3	NT
273	Device	Net-Tie_3_Tee	NT
274	Device	Net-Tie_4	NT
275	Device	Net-Tie_4_Cross	NT
276	Device	Ohmmeter	MES
277	Device	Opamp_Dual_Generic	U
278	Device	Opamp_Quad_Generic	U
279	Device	Oscilloscope	MES
280	Device	Peltier_Element	PE
281	Device	Polyfuse	F
282	Device	Polyfuse_Small	F
283	Device	Q_DUAL_NMOS_G1S2G2D2S1D1	Q
284	Device	Q_DUAL_NMOS_S1G1D2S2G2D1	Q
285	Device	Q_DUAL_NPN_C2C1E1E2	Q
286	Device	Q_DUAL_NPN_NPN_BRT_E1B1C2E2B2C1	Q
287	Device	Q_DUAL_NPN_NPN_C2E2C1E1B1B2	Q
288	Device	Q_DUAL_NPN_NPN_E1B1C2E2B2C1	Q
289	Device	Q_DUAL_NPN_PNP_BRT_E1B1C2E2B2C1	Q
290	Device	Q_DUAL_NPN_PNP_E1B1C2E2B2C1	Q
291	Device	Q_DUAL_PMOS_G1S2G2D2S1D1	Q
292	Device	Q_DUAL_PMOS_S1G1D2S2G2D1	Q
293	Device	Q_DUAL_PMOS_S1G1S2G2D2D2D1D1	Q
294	Device	Q_DUAL_PNP_C2C1E1E2	Q
295	Device	Q_DUAL_PNP_NPN_BRT_E1B1C2E2B2C1	Q
296	Device	Q_DUAL_PNP_PNP_BRT_E1B1C2E2B2C1	Q
297	Device	Q_DUAL_PNP_PNP_C1B1B2C2E2E1	Q
298	Device	Q_DUAL_PNP_PNP_C2E2C1E1B1B2	Q
299	Device	Q_DUAL_PNP_PNP_E1B1C2E2B2C1	Q
300	Device	Q_NIGBT_CEG	Q
301	Device	Q_NIGBT_CGE	Q
302	Device	Q_NIGBT_ECG	Q
303	Device	Q_NIGBT_ECGC	Q
304	Device	Q_NIGBT_EGC	Q
305	Device	Q_NIGBT_GCE	Q
306	Device	Q_NIGBT_GCEC	Q
307	Device	Q_NIGBT_GEC	Q
308	Device	Q_NJFET_DGS	Q
309	Device	Q_NJFET_DSG	Q
310	Device	Q_NJFET_GDS	Q
311	Device	Q_NJFET_GSD	Q
312	Device	Q_NJFET_SDG	Q
313	Device	Q_NJFET_SGD	Q
314	Device	Q_NMOS_DGS	Q
315	Device	Q_NMOS_DSG	Q
316	Device	Q_NMOS_GDS	Q
317	Device	Q_NMOS_GDSD	Q
318	Device	Q_NMOS_GSD	Q
319	Device	Q_NMOS_SDG	Q
320	Device	Q_NMOS_SDGD	Q
321	Device	Q_NMOS_SGD	Q
322	Device	Q_NPN_BCE	Q
323	Device	Q_NPN_BCEC	Q
324	Device	Q_NPN_BEC	Q
325	Device	Q_NPN_BEC_BRT	Q
326	Device	Q_NPN_CBE	Q
327	Device	Q_NPN_CEB	Q
328	Device	Q_NPN_Darlington_BCE	Q
329	Device	Q_NPN_Darlington_BCEC	Q
330	Device	Q_NPN_Darlington_BEC	Q
331	Device	Q_NPN_Darlington_CBE	Q
