4010,16,VDD,16,W,D
40106,1,~,1,I,R
40106,2,~,2,O,L
40106,3,~,3,I,R
40106,4,~,4,O,L
40106,5,~,5,I,R
40106,6,~,6,O,L
40106,7,VSS,7,W,U
40106,8,~,8,O,L
40106,9,~,9,I,R
40106,10,~,10,O,L
40106,11,~,11,I,R
40106,12,~,12,O,L
40106,13,~,13,I,R
40106,14,VDD,14,W,D
4011,1,~,1,I,R
4011,2,~,2,I,R
4011,3,~,3,O,L
4011,4,~,4,O,L
4011,5,~,5,I,R
4011,6,~,6,I,R
4011,7,VSS,7,W,U
4011,8,~,8,I,R
4011,9,~,9,I,R
4011,10,~,10,O,L
4011,11,~,11,O,L
4011,12,~,12,I,R
4011,13,~,13,I,R
4011,14,VDD,14,W,D
4012,1,~,1,O,L
4012,2,~,2,I,R
4012,3,~,3,I,R
4012,4,~,4,I,R
4012,5,~,5,I,R
4012,7,VSS,7,W,U
4012,9,~,9,I,R
4012,10,~,10,I,R
4012,11,~,11,I,R
4012,12,~,12,I,R
4012,13,~,13,O,L
4012,14,VDD,14,W,D
4013,1,Q,1,O,L
4013,2,~Q,2,O,L
4013,3,C,3,I,R
4013,4,R,4,I,U
4013,5,D,5,I,R
4013,6,S,6,I,D
4013,7,VSS,7,W,U
4013,8,S,8,I,D
4013,9,D,9,I,R
4013,10,R,10,I,U
4013,11,C,11,I,R
4013,12,~Q,12,O,L
4013,13,Q,13,O,L
4013,14,VDD,14,W,D
4016,1,~,1,P,R
4016,2,~,2,P,L
4016,3,~,3,P,L
4016,4,~,4,P,R
4016,5,~,5,I,D
4016,6,~,6,I,D
4016,7,VSS,7,W,U
4016,8,~,8,P,R
4016,9,~,9,P,L
4016,10,~,10,P,L
4016,11,~,11,P,R
4016,12,~,12,I,D
4016,13,~,13,I,D
4016,14,VDD,14,W,D
4017,1,Q5,1,O,L
4017,2,Q1,2,O,L
4017,3,Q0,3,O,L
4017,4,Q2,4,O,L
4017,5,Q6,5,O,L
4017,6,Q7,6,O,L
4017,7,Q3,7,O,L
4017,8,VSS,8,W,U
4017,9,Q8,9,O,L
4017,10,Q4,10,O,L
4017,11,Q9,11,O,L
4017,12,Cout,12,O,L
4017,13,CKEN,13,I,R
4017,14,CLK,14,I,R
4017,15,Reset,15,I,R
4017,16,VDD,16,W,D
4020,1,Q11,1,O,L
4020,2,Q12,2,O,L
4020,3,Q13,3,O,L
4020,4,Q5,4,O,L
4020,5,Q4,5,O,L
4020,6,Q6,6,O,L
4020,7,Q3,7,O,L
4020,8,VSS,8,W,U
4020,9,Q0,9,O,L
4020,10,CLK,10,I,R
4020,11,Reset,11,I,R
4020,12,Q8,12,O,L
4020,13,Q7,13,O,L
4020,14,Q9,14,O,L
4020,15,Q10,15,O,L
4020,16,VDD,16,W,D
4021,1,D7,1,I,R
4021,2,Q5,2,O,L
4021,3,Q7,3,O,L
4021,4,D3,4,I,R
4021,5,D2,5,I,R
4021,6,D1,6,I,R
4021,7,D0,7,I,R
4021,8,VSS,8,W,U
4021,9,PL,9,I,R
4021,10,CP,10,I,R
4021,11,DS,11,I,R
4021,12,Q6,12,O,L
4021,13,D4,13,I,R
4021,14,D5,14,I,R
4021,15,D6,15,I,R
4021,16,VDD,16,W,D
4022,1,Q1,1,O,L
4022,2,Q0,2,O,L
4022,3,Q2,3,O,L
4022,4,Q5,4,O,L
4022,5,Q6,5,O,L
4022,7,Q3,7,O,L
4022,8,VSS,8,W,U
4022,10,Q7,10,O,L
4022,11,Q4,11,O,L
4022,12,Cout,12,O,L
4022,13,CKEN,13,I,R
4022,14,CLK,14,I,R
4022,15,Reset,15,I,R
4022,16,VDD,16,W,D
4023,1,~,1,I,R
4023,2,~,2,I,R
4023,3,~,3,I,R
4023,4,~,4,I,R
4023,5,~,5,I,R
4023,6,~,6,O,L
4023,7,VSS,7,W,U
4023,8,~,8,I,R
4023,9,~,9,O,L
4023,10,~,10,O,L
4023,11,~,11,I,R
4023,12,~,12,I,R
4023,13,~,13,I,R
4023,14,VDD,14,W,D
4025,1,~,1,I,R
4025,2,~,2,I,R
4025,3,~,3,I,R
4025,4,~,4,I,R
4025,5,~,5,I,R
4025,6,~,6,O,L
4025,7,VSS,7,W,U
4025,8,~,8,I,R
4025,9,~,9,O,L
4025,10,~,10,O,L
4025,11,~,11,I,R
4025,12,~,12,I,R
4025,13,~,13,I,R
4025,14,VDD,14,W,D
4027,1,Q,1,O,L
4027,2,~Q,2,O,L
4027,3,C,3,I,R
4027,4,R,4,I,U
4027,5,K,5,I,R
4027,6,J,6,I,R
4027,7,S,7,I,D
4027,8,VSS,8,W,U
4027,9,S,9,I,D
4027,10,J,10,I,R
4027,11,K,11,I,R
4027,12,R,12,I,U
4027,13,C,13,I,R
4027,14,~Q,14,O,L
4027,15,Q,15,O,L
4027,16,VDD,16,W,D
4028,1,S4,1,O,L
4028,2,S2,2,O,L
4028,3,S0,3,O,L
4028,4,S7,4,O,L
4028,5,S9,5,O,L
4028,6,S5,6,O,L
4028,7,S6,7,O,L
4028,8,VSS,8,W,U
