1,4xxx,1,44
2,Analog,2,14
3,Device,3,559
4,Diode,4,91
5,LED,5,43
6,Motor,6,13
7,Oscillator,7,59
8,Transistor_BJT,8,168
9,Transistor_FET,9,85
10,Transistor_IGBT,10,2
11,Triac_Thyristor,11,5
12,eSim_Hybrid,12,16
13,eSim_Sources,13,11
14,power,14,100
15,pspice,15,14
