115	4xxx	4013	3	C	3	R	1	1	I
116	4xxx	4013	4	R	4	U	1	1	I
117	4xxx	4013	5	D	5	R	1	1	I
118	4xxx	4013	6	S	6	D	1	1	I
119	4xxx	4013	7	VSS	7	U	3	0	W
120	4xxx	4013	8	S	8	D	2	1	I
121	4xxx	4013	9	D	9	R	2	1	I
122	4xxx	4013	10	R	10	U	2	1	I
123	4xxx	4013	11	C	11	R	2	1	I
124	4xxx	4013	12	~Q	12	L	2	1	O
125	4xxx	4013	13	Q	13	L	2	1	O
126	4xxx	4013	14	VDD	14	D	3	0	W
127	4xxx	4016	1	~	1	R	1	0	P
128	4xxx	4016	2	~	2	L	1	0	P
129	4xxx	4016	3	~	3	L	2	0	P
130	4xxx	4016	4	~	4	R	2	0	P
131	4xxx	4016	5	~	5	D	2	0	I
132	4xxx	4016	6	~	6	D	3	0	I
133	4xxx	4016	7	VSS	7	U	5	0	W
134	4xxx	4016	8	~	8	R	3	0	P
135	4xxx	4016	9	~	9	L	3	0	P
136	4xxx	4016	10	~	10	L	4	0	P
137	4xxx	4016	11	~	11	R	4	0	P
138	4xxx	4016	12	~	12	D	4	0	I
139	4xxx	4016	13	~	13	D	1	0	I
140	4xxx	4016	14	VDD	14	D	5	0	W
141	4xxx	4017	1	Q5	1	L	1	0	O
142	4xxx	4017	2	Q1	2	L	1	0	O
143	4xxx	4017	3	Q0	3	L	1	0	O
144	4xxx	4017	4	Q2	4	L	1	0	O
145	4xxx	4017	5	Q6	5	L	1	0	O
146	4xxx	4017	6	Q7	6	L	1	0	O
147	4xxx	4017	7	Q3	7	L	1	0	O
148	4xxx	4017	8	VSS	8	U	1	0	W
149	4xxx	4017	9	Q8	9	L	1	0	O
150	4xxx	4017	10	Q4	10	L	1	0	O
151	4xxx	4017	11	Q9	11	L	1	0	O
152	4xxx	4017	12	Cout	12	L	1	0	O
153	4xxx	4017	13	CKEN	13	R	1	0	I
154	4xxx	4017	14	CLK	14	R	1	0	I
155	4xxx	4017	15	Reset	15	R	1	0	I
